"abidance","abidance"
"abidance","abidance"
"abide","respeitar"
"abilities","habilidades"
"ability","capacidade"
"able","capaz"
"above","acima"
"above-average","acima da média"
"abound","abundam"
"absolve","absolvê"
"abundant","abundante"
"abundance","abundância"
"accede","aderir"
"accept","aceitar"
"acceptance","aceitação"
"acceptable","aceitável"
"accessible","acessível"
"acclaim","aclamação"
"acclaim","aclamação"
"acclaimed","aclamado"
"acclamation","aclamação"
"accolade","accolade"
"accolades","elogios"
"accommodative","acomodatícia"
"accomplish","realizar"
"accomplishment","realização"
"accomplishments","realizações"
"accord","acordo"
"accordance","conformidade"
"accordantly","accordantly"
"accurate","preciso"
"accurately","com precisão"
"achievable","realizáveis"
"achieve","alcançar"
"achievement","realização"
"achievements","realizações"
"acknowledge","reconhecer"
"acknowledgement","reconhecimento"
"acquit","absolver"
"active","ativo"
"acumen","perspicácia"
"adaptable","adaptável"
"adaptability","adaptabilidade"
"adaptive","adaptativo"
"adept","hábeis"
"adeptly","adeptly"
"adequate","adequada"
"adherence","adesão"
"adherent","aderente"
"adhesion","adesão"
"admirable","admirável"
"admirer","admirador"
"admirable","admirável"
"admirably","admiravelmente"
"admiration","admiração"
"admire","admirar"
"admiring","admirando"
"admiringly","admiringly"
"admission","admissão"
"admission","admissão"
"admit","admitir"
"admittedly","reconhecidamente"
"adorable","adorável"
"adore","adoro"
"adored","adorado"
"adorer","adorador"
"adorer","adorador"
"adoring","adorando"
"adoringly","adoração"
"adroit","adroit"
"adroitly","adroitly"
"adulate","adular"
"adulation","adulação"
"adulatory","adulatory"
"advanced","avançada"
"advantage","vantagem"
"advantage","vantagem"
"advantageous","vantajosa"
"advantages","vantagens"
"advantages","vantagens"
"adventure","aventura"
"adventure","aventura"
"adventuresome","aventureiro"
"adventurism","aventureirismo"
"adventurous","aventureiro"
"advice","conselho"
"advice","conselho"
"advisable","aconselhável"
"advocate","defensor"
"advocacy","advocacy"
"affable","afável"
"affability","afabilidade"
"affably","afavelmente"
"affection","carinho"
"affection","carinho"
"affectionate","afetuoso"
"affinity","afinidade"
"affirm","afirmar"
"affirmation","afirmação"
"affirmation","afirmação"
"affirmative","afirmativa"
"affluent","afluente"
"affluence","afluência"
"afford","pagar"
"affordable","affordable"
"afloat","à tona"
"agile","ágil"
"agilely","agilely"
"agility","agilidade"
"agree","Concordo"
"agreeability","agreeability"
"agreeable","agradável"
"agreeable","agradável"
"agreeableness","agreeableness"
"agreeably","agreeably"
"agreement","acordo"
"agreement","acordo"
"allay","acalmar"
"alleviate","aliviar"
"allow","permitir"
"allowable","permissível"
"allure","allure"
"allure","allure"
"alluring","sedutor"
"alluringly","alluringly"
"ally","aliado"
"almighty","almighty"
"altruist","altruísta"
"altruistic","altruísta"
"altruistically","altruisticamente"
"amaze","surpreender"
"amazed","espantado"
"amazement","assombro"
"amazing","incrível"
"amazing","incrível"
"amazingly","espantosamente"
"ambitious","ambiciosa"
"ambitious","ambiciosa"
"ambitiously","ambiciosamente"
"ameliorate","melhorar"
"amenable","passíveis"
"amenity","amenidade"
"amiability","amabilidade"
"amiabily","amiabily"
"amiable","amável"
"amicability","amicability"
"amicable","amigável"
"amicably","amigavelmente"
"amity","amizade"
"amity","amizade"
"amnesty","anistia"
"amour","amour"
"ample","amplo"
"amply","amplamente"
"amuse","amuse"
"amusement","diversões"
"amusement","diversões"
"amusing","divertido"
"amusing","divertido"
"amusingly","divertidamente"
"angel","anjo"
"angelic","angelical"
"animated","animado"
"apostle","apóstolo"
"apostle","apóstolo"
"apotheosis","apoteose"
"apotheosis","apoteose"
"appeal","apelo"
"appeal","apelo"
"appeal","apelo"
"appealing","atraente"
"appease","aplacar"
"applaud","aplaudo"
"appreciable","apreciável"
"appreciate","apreciar"
"appreciation","valorização"
"appreciation","valorização"
"appreciative","apreciativo"
"appreciatively","appreciatively"
"appreciativeness","appreciativeness"
"appropriate","apropriada"
